日期,年份,内容,标题,事件
1月1日,公元前45年,罗马共和国开始使用儒略历,,event
1月1日,1515年,法国瓦卢瓦王朝国王、被称为“人民之父”的路易十二逝世,,event
1月1日,1823年,匈牙利诗人裴多菲出生,,event
1月1日,1854年,英国人类学家J.G.弗雷泽出生,,event
1月1日,1863年,现代国际奥林匹克运动创始人皮埃尔·德·顾拜旦出生,,event
1月1日,1864年,中国画家、篆刻家齐白石出生,,event
1月1日,1894年,德国物理学家海因里希·鲁道夫·赫兹逝世,,event
1月1日,1912年,中华民国正式成立,,event
1月1日,1927年,诺贝尔经济学奖得主弗农·史密斯出生,,event
1月1日,1995年,世界贸易组织正式运作,,event
1月1日,1997年,联合国第七任秘书长科菲·安南上任,,event
1月1日,2006年,中华人民共和国废止农业税,,event
1月1日,2009年,挪威成为世界上第六个承认同性婚姻的国家,,event
1月1日,2009年,南非反种族隔离白人议员海伦·苏斯曼逝世,,event
1月2日,1492年,西班牙军队攻下格拉纳达,,event
1月2日,1822年,热力学的奠基人之一鲁道夫·克劳修斯出生,,event
1月2日,1860年,奥本勒维耶宣布发现了“祝融星”,,event
1月2日,1875年,中国社会活动家、爱国民主人士沈钧儒 出生,,event
1月2日,1880年,中国报业家史量才出生,,event
1月2日,1920年,美国科幻小说作家艾萨克·阿西莫夫出生,,event
1月2日,1933年,日本推理小说作家森村诚一出生,,event
1月2日,1952年,中国人民志愿军战士罗盛教逝世,,event
1月2日,1959年,美国星尘号太空探测器返回地球,,event
1月2日,1959年,世界上第一个星际探测器月球1号发射,,event
1月2日,1992年,中国与乌兹别克斯坦建交,,event
1月2日,2005年,中国农业教育家周明牂逝世,,event
1月2日,2006年,巴布亚新几内亚总理比尔·史凯特逝世,,event
1月2日,2009年,哈马斯高级领导人尼扎尔·拉扬逝世,,event
1月2日,2011年,美国陆军第101空降师理查德·温特斯逝世,,event
1月3日,1777年,乔治·华盛顿率领美国军队战胜英国军队,,event
1月3日,1823年,英国工程师罗伯特·怀特黑德出生,,event
1月3日,1868年,日本明治维新开始,,event
1月3日,1876年,德意志民主共和国第一任总统威廉·皮克出生,,event
