date,部门,详情链接,标题,下载链接,附件名,下载次数
2023-10-19,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13043.htm,关于做好2023学年本科生转专业工作的通知,,,
2023-11-06,【计划科】,https://jwch.fzu.edu.cn/info/1038/13094.htm,关于2023-2024学年第一学期在校学生申请辅修专业的通知,,,
2023-10-30,【质量办】,https://jwch.fzu.edu.cn/info/1040/13079.htm,关于期中党政领导集中听课的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13157962,"附件2：第10周课表.xlsx
附件1：福州大学课堂教学质量评估表.doc","102
49"
2023-10-24,【综合科】,https://jwch.fzu.edu.cn/info/1035/13062.htm,关于福州大学智慧教室二期使用培训的通知,,,
2023-10-23,【教材中心】,https://jwch.fzu.edu.cn/info/1042/13052.htm,关于召开教材建设研讨会暨福州大学第四十八场“教学有道”研讨会的通知,,,
2023-10-20,【实践科】,https://jwch.fzu.edu.cn/info/1039/13051.htm,关于举办第十五届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,,,
2023-10-19,【质量办】,https://jwch.fzu.edu.cn/info/1040/13041.htm,关于举办福州大学第四十七场“教学有道”研讨活动暨2023年教师教学创新大赛培训会的通知,,,
2023-10-17,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13039.htm,关于2023-2024学年第一学期《高等数学A（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13145543,2301高数A（下）半期考10.22晚.xlsx,263
2023-10-16,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13038.htm,关于2023-2024学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13145373,"10.29晚大物B（下）半期考.xlsx
10.28晚大物A（下）半期考.xlsx","148
176"
2023-10-16,【实践科】,https://jwch.fzu.edu.cn/info/1039/13035.htm,关于2023年高校教学基本状态数据库教学相关数据报送的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13145324,2023年本科教学相关数据报送表格.zip,260
2023-10-16,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13034.htm,关于做好2024届预计毕业生电子注册图像采集工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13145312,"附件2：获得图像采集码途径.pdf
附件1：各学院分班拍照顺序.pdf","219
245"
2023-10-09,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13029.htm,关于组织2023级新生开展学籍信息自查工作的通知,,,
2023-10-08,【质量办】,https://jwch.fzu.edu.cn/info/1040/13028.htm,关于开展福州大学2023年教师教学创新大赛的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13142915,附件1-4.rar,159
2023-10-08,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13027.htm,关于2023-2024学年第一学期《概率与数理统计》课程半期考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13142824,10.21晚概率半期考.xlsx,239
2023-09-25,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13017.htm,关于2023年中秋节、国庆节放假课程调整的通知,,,
2023-09-20,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13014.htm,2023-2024-01学期2023级体育理论教室安排表,,,
2023-09-20,【注册中心】,https://jwch.fzu.edu.cn/info/1036/13013.htm,关于做好2023-2024学年第二学期排课准备工作的通知,,,
2023-09-19,【实践科】,https://jwch.fzu.edu.cn/info/1039/13011.htm,关于公布第十二届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,,,
2023-09-18,【计划科】,https://jwch.fzu.edu.cn/info/1038/13001.htm,关于2023-2024学年第一学期爱课程平台参加通识教育选修课学习的重要提示,,,
2023-09-18,【计划科】,https://jwch.fzu.edu.cn/info/1038/13000.htm,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,,,
2023-09-15,【实践科】,https://jwch.fzu.edu.cn/info/1039/12999.htm,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13134051,"福州大学2022年省级及以上大学生创新创业训练计划项目结题成绩汇总表.xls
福州大学2021年国家级、省级大学生创新创业训练计划项目结题成绩汇总表.xls","773
586"
2023-09-15,【实践科】,https://jwch.fzu.edu.cn/info/1039/12998.htm,关于公布第二十七、二十八期本科生科研训练计划项目结题成绩的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13134049,"福州大学第二十七期本科生科研训练计划项目结题成绩汇总表.xls
福州大学第二十八期本科生科研训练计划项目结题成绩汇总表.xls","780
1105"
